Skin | Qty | Value | https://www.roblox.com/asset/?id=2666307469
"AK47 | Ace" | x5 | 60 R$(15)
"AK47 | Bloodboom" | x2 | 200 R$(50)
"AK47 | Clown" | x1 | 30 R$(7)
"AK47 | Code Orange" | x10 | 5 R$(2)
"AK47 | Mean Green" | x2 | 585 R$(146)
"AK47 | Quantum" | x6 | 110 R$(27)
"AK47 | Ugly Sweater" | x5 | 39 R$(9)
"AK47 | VAV" | x3 | 475 R$(118)
"AUG | Dream Hound" | x2 | 8 R$(2)
"AUG | Enlisted" | x4 | 12 R$(3)
"AUG | Phoenix" | x6 | 34 R$(8)
"AWP | Bloodborne" | x2 | 100 R$(25)
"AWP | Desert Camo" | x8 | 20 R$(5)
"AWP | Difference" | x8 | 180 R$(45)
"AWP | Instinct" | x2 | 120 R$(30)
"AWP | Lunar" | x7 | 65 R$(16)
"AWP | Northern Lights" | x5 | 43 R$(10)
"Bayonet | Crow" | x2 | 1850 R$(462)
"Bayonet | Geo Blade" | x1 | 2900 R$(725)
"Bayonet | Silent Night" | x1 | 1360 R$(340)
"Bearded Axe | Splattered" | x1 | 485 R$(121)
"Bizon | Oblivion" | x1 | 29 R$(7)
"Bizon | Saint Nick" | x1 | 14 R$(3)
"Bizon | Sergeant" | x1 | 44 R$(11)
"Bizon | Shattered" | x5 | 1 R$(2)
"Butterfly Knife | Crippled Fade" | x1 | 3400 R$(850)
"Butterfly Knife | Icicle" | x4 | 1240 R$(310)
"Butterfly Knife | Jade Dream" | x1 | 3000 R$(750)
"CZ | Lightning" | x2 | 25 R$(6)
"Cleaver | Splattered" | x1 | 375 R$(93)
"Cleaver | Stock" | x1 | 525 R$(131)
"DesertEagle | Cool Blue" | x16 | 10 R$(2)
"DesertEagle | Grim" | x1 | 465 R$(116)
"DesertEagle | Honor-bound" | x2 | 55 R$(13)
"DesertEagle | Krystallos" | x4 | 140 R$(35)
"DesertEagle | Xmas" | x1 | 1100 R$(275)
"DualBerettas | Floral" | x8 | 6 R$(2)
"DualBerettas | Hexline" | x4 | 4 R$(2)
"DualBerettas | Neon web" | x2 | 5 R$(2)
"Falchion Knife | Bloodwidow" | x1 | 2600 R$(650)
"Falchion Knife | Coal" | x6 | 1060 R$(265)
"Falchion Knife | Crippled Fade" | x2 | 1550 R$(387)
"Falchion Knife | Frozen Dream" | x1 | 510 R$(127)
"Falchion Knife | Marbleized" | x1 | 700 R$(175)
"Falchion Knife | Naval" | x2 | 625 R$(156)
"Falchion Knife | Ruby" | x1 | 2400 R$(600)
"Famas | Abstract" | x1 | 7 R$(2)
"Famas | Goliath" | x12 | 2 R$(2)
"Famas | Redux" | x5 | 13 R$(3)
"Famas | Toxic Rain" | x16 | 6 R$(2)
"Fingerless Glove | Digital" | x2 | 1500 R$(375)
"FiveSeven | Danjo" | x4 | 130 R$(32)
"FiveSeven | Midnight Ride" | x4 | 11 R$(2)
"FiveSeven | Stigma" | x38 | 3 R$(2)
"FiveSeven | Summer" | x3 | 13 R$(3)
"G3SG1 | Amethyst" | x5 | 1 R$(2)
"G3SG1 | Foliage" | x1 | 1 R$(2)
"G3SG1 | Hex" | x49 | 1 R$(2)
"G3SG1 | Mahogany" | x6 | 10 R$(2)
"Galil | Hardware 2" | x22 | 3 R$(2)
"Galil | Hardware 2" | x43 | 3 R$(2)
"Galil | Toxicity" | x19 | 3 R$(2)
"Glock | Anubis" | x5 | 25 R$(6)
"Glock | Day Dreamer" | x1 | 10 R$(2)
"Glock | Desert Camo" | x3 | 2 R$(2)
"Glock | Gravestomper" | x3 | 19 R$(4)
